Epoch,Loss,Value
0,recon_loss,228.5607452392578
0,kl_loss,11.471322691440582
0,kl_loss_0,1.6763358861207962
0,kl_loss_1,1.7366736270487309
0,kl_loss_2,2.087626297771931
0,kl_loss_3,2.0678538143634797
0,kl_loss_4,2.1415690958499907
0,kl_loss_5,1.7612639348953962
0,loss,239.1175048828125
1,recon_loss,166.31228637695312
1,kl_loss,9.2446411980523
1,kl_loss_0,1.4149262375301785
1,kl_loss_1,1.5585507022009955
1,kl_loss_2,1.6595388783348932
1,kl_loss_3,1.339492850833469
1,kl_loss_4,1.8165862295362685
1,kl_loss_5,1.4555464188257854
1,loss,191.97890387641058
2,recon_loss,166.73925323486327
2,kl_loss,8.084798622131348
2,kl_loss_0,1.2086572170257568
2,kl_loss_1,1.4292169094085694
2,kl_loss_2,1.447799801826477
2,kl_loss_3,1.0781231999397278
2,kl_loss_4,1.6311529874801636
2,kl_loss_5,1.2898486018180848
2,loss,198.9222625732422
3,recon_loss,165.3383297390408
3,kl_loss,8.324044439527723
3,kl_loss_0,1.2705128855175443
3,kl_loss_1,1.5259726179970636
3,kl_loss_2,1.493153002527025
3,kl_loss_3,1.0823317633734808
3,kl_loss_4,1.654953466521369
3,kl_loss_5,1.297120624118381
3,loss,198.63450622558594
4,recon_loss,160.6788363986545
4,kl_loss,8.354443497127956
4,kl_loss_0,1.255733331044515
4,kl_loss_1,1.5343869527180989
4,kl_loss_2,1.5027964380052354
4,kl_loss_3,1.0319164196650188
4,kl_loss_4,1.7263215117984347
4,kl_loss_5,1.3032887114418878
4,loss,194.0966101752387
5,recon_loss,160.2406448364258
5,kl_loss,8.607014989852905
5,kl_loss_0,1.2667281031608582
5,kl_loss_1,1.5604262471199035
5,kl_loss_2,1.5543328285217286
5,kl_loss_3,1.0885046243667602
5,kl_loss_4,1.7422744512557984
5,kl_loss_5,1.394748830795288
5,loss,194.66870574951173
